HV1,IC1,IC5,CARDPROM,NUMPRM12,NGIFTALL,TIMELAG,year,GENDER,HOMEOWNR,DOMAIN_letters,RFA_frequency,RFA_monetary,AVGGIFT
633,339,8441,8,12,2,6.0,37.5707995,M,other,S,2,F,13.0
261,152,4741,26,12,8,19.0,54.0,M,U,T,2,F,13.75
460,263,9597,30,11,16,23.0,42.0,F,H,R,1,E,6.8125
1988,333,13261,6,12,1,8.117885715,37.5707995,M,H,U,1,G,25.0
965,441,17182,22,13,9,11.0,60.0,M,H,S,2,E,10.33333333
2087,273,16956,6,12,1,8.117885715,37.5707995,M,other,U,1,F,20.0
1168,371,14953,5,10,1,8.117885715,37.5707995,M,U,R,1,F,20.0
364,225,8565,25,12,10,5.0,37.5707995,M,other,R,1,F,14.0
750,118,11638,21,10,8,5.0,35.0,F,other,C,1,F,11.75
483,206,9293,9,3,4,28.0,37.5707995,F,other,R,1,G,15.0
587,308,12448,9,10,2,10.0,71.0,M,H,U,1,F,14.0
425,274,12683,9,10,2,8.0,40.0,F,H,R,1,F,17.5
542,220,9481,17,29,7,3.0,37.5707995,M,other,R,1,G,25.0
478,275,11859,27,13,11,11.0,44.0,M,H,T,1,G,8.090909091
1024,360,15002,17,33,7,4.0,29.0,M,U,T,2,F,25.71428571
875,417,16760,6,10,1,8.117885715,56.0,F,H,T,1,F,20.0
565,241,12149,14,5,19,7.0,37.5707995,other,other,R,3,E,4.6052631580000005
2750,375,24335,4,6,2,2.0,37.5707995,F,U,U,2,F,20.0
526,184,8240,24,15,15,6.0,27.0,F,H,R,4,D,7.666666667
546,313,12876,8,10,2,10.0,37.5707995,F,other,R,1,F,10.0
724,358,14270,16,12,6,16.0,28.0,M,H,T,3,E,8.166666667000001
336,162,8040,23,13,19,3.0,37.5707995,M,H,T,4,D,6.894736842
931,616,60097,9,13,2,10.0,37.5707995,F,other,S,1,F,13.0
914,361,14529,5,11,1,8.117885715,37.5707995,F,other,C,1,F,15.0
796,363,17791,15,14,8,8.0,37.5707995,F,other,R,4,F,18.5
463,263,10768,9,15,4,8.0,37.5707995,F,other,C,3,E,6.25
1127,422,13828,14,10,4,4.0,63.0,other,U,T,1,F,9.0
684,335,11637,6,12,1,8.117885715,29.0,F,H,T,1,F,20.0
952,394,15275,26,13,9,7.0,37.5707995,F,other,R,2,G,12.33333333
1932,329,16959,12,13,4,7.0,57.0,F,H,S,3,G,21.75
218,172,8660,18,9,15,6.0,37.5707995,F,U,R,4,D,5.0
541,219,10747,6,13,2,1.0,34.0,M,H,S,2,F,15.0
908,355,14950,31,15,15,7.0,25.0,other,other,T,2,E,8.0
817,343,15308,33,41,13,24.0,11.0,M,U,T,1,F,18.23076923
1155,418,26694,11,9,2,19.0,26.0,F,H,C,1,F,10.0
1121,294,18380,17,5,21,2.0,37.5707995,M,other,S,1,G,19.04761905
393,188,9026,35,12,18,4.0,36.0,other,other,T,1,F,8.888888889
338,216,12043,15,12,5,11.0,21.0,F,H,C,3,E,8.8
419,211,10103,16,13,6,15.0,38.0,F,H,R,1,F,7.166666667
525,228,9036,15,10,4,18.0,52.0,F,H,C,1,F,12.5
878,285,16534,26,9,19,6.0,11.0,M,other,T,1,E,6.47368421
255,138,8254,9,10,2,26.0,12.0,M,U,R,1,F,12.5
247,195,9791,25,11,15,6.0,37.5707995,M,U,R,1,E,10.86666667
5000,802,45440,19,13,7,10.0,37.5707995,M,other,S,2,G,22.85714286
576,224,10824,11,13,4,9.0,42.0,M,H,R,3,E,6.25
695,417,15839,31,13,33,6.0,58.0,F,H,S,2,F,8.848484849
4551,506,36812,16,13,9,5.0,37.5707995,M,other,U,4,E,10.77777778
1281,258,23516,25,15,17,5.0,37.5707995,F,other,U,4,E,9.235294117999999
2213,409,16194,18,11,6,19.0,50.0,M,H,U,2,F,9.833333332999999
697,230,10608,21,13,5,5.0,69.0,F,U,S,1,G,19.0
843,400,21601,17,10,6,8.0,23.0,F,other,T,1,F,10.83333333
384,134,7821,32,10,31,3.0,55.0,F,other,R,3,D,4.677419355
3615,370,25822,17,11,4,6.0,45.0,F,other,S,1,F,13.5
423,353,10631,16,11,10,9.0,37.5707995,M,other,S,4,D,4.8
315,94,6454,17,15,10,15.0,62.0,F,H,C,4,F,7.5
611,490,14738,19,13,7,9.0,53.0,M,U,U,1,F,8.714285713999999
357,251,10490,22,12,10,3.0,37.5707995,M,H,R,1,F,9.6
541,295,12778,6,11,1,8.117885715,44.0,F,H,S,1,G,25.0
384,230,10938,22,10,17,7.0,37.5707995,other,H,R,2,E,5.823529412
538,200,11368,4,8,1,8.117885715,40.0,M,H,R,1,F,15.0
797,397,15559,25,12,14,3.0,54.0,F,H,R,2,E,6.214285714
583,253,11448,5,11,1,8.117885715,66.0,F,H,R,1,F,15.0
611,384,13816,20,12,11,5.0,37.5707995,F,U,R,3,E,5.727272727000001
1260,656,23089,8,13,2,6.0,32.0,M,H,S,2,G,22.5
888,413,13030,13,11,4,10.0,47.0,F,U,T,2,F,14.25
273,144,8893,25,13,9,13.0,11.0,F,H,T,1,F,8.666666667000001
3320,637,24812,14,17,3,6.0,50.0,M,other,U,1,G,15.0
2481,186,8573,15,12,7,5.0,68.0,F,other,C,3,E,9.0
0,0,0,13,14,3,3.0,63.0,M,other,C,1,F,12.0
813,325,17373,5,10,1,8.117885715,37.5707995,F,U,S,1,F,20.0
514,280,12923,28,13,12,4.0,41.0,F,H,T,1,G,10.5
787,492,26161,10,14,3,12.0,16.0,F,H,T,2,F,15.0
371,200,10154,31,11,31,4.0,29.0,M,other,S,1,E,7.838709677000001
581,323,11057,15,11,4,5.0,40.0,F,H,R,1,F,11.75
696,511,17872,27,25,13,15.0,59.0,F,other,U,4,E,9.307692308
382,130,8356,19,12,8,4.0,10.0,M,U,R,3,E,9.5
2289,631,22571,31,13,18,13.0,37.5707995,F,other,T,1,F,10.88888889
876,335,12881,27,13,6,4.0,54.0,other,U,T,1,G,18.66666667
1083,158,7963,6,10,1,8.117885715,16.0,F,H,T,1,F,20.0
568,213,9076,25,7,15,4.0,26.0,M,H,T,3,D,4.2
2660,615,19554,15,10,6,4.0,50.0,F,H,S,2,F,8.666666667000001
371,174,8383,13,16,6,1.0,37.5707995,other,U,R,3,G,12.0
682,335,14635,5,11,1,8.117885715,37.5707995,M,other,S,1,F,15.0
1369,608,21931,10,11,3,6.0,49.0,F,H,T,2,F,13.33333333
526,273,12220,13,12,3,11.0,37.5707995,M,other,T,1,F,11.66666667
1329,664,29606,5,10,1,8.117885715,36.0,F,H,S,1,F,15.0
430,193,9986,11,12,4,1.0,32.0,M,H,S,2,F,17.5
278,179,8790,27,28,43,4.0,37.5707995,F,U,T,1,E,19.162790700000002
554,263,11019,14,23,7,3.0,37.5707995,F,other,R,3,E,6.142857143
1241,307,19381,21,14,16,14.0,19.0,F,H,S,3,D,3.5625
2875,1124,47774,24,14,8,5.0,51.0,F,H,S,1,F,12.25
463,244,14997,18,31,15,3.0,14.0,F,U,R,3,G,24.93333333
377,274,8749,12,12,4,6.0,48.0,F,U,S,3,E,8.5
2265,887,32752,20,13,5,8.0,53.0,M,other,S,1,G,15.2
624,209,17569,31,13,19,4.0,12.0,M,H,C,2,E,4.421052632
1179,492,21687,28,14,30,9.0,26.0,M,H,S,4,E,8.933333333
879,241,13947,5,11,1,8.117885715,37.5707995,M,H,S,1,F,15.0
692,262,15977,33,13,20,8.0,22.0,F,U,T,2,E,6.85
2170,397,22655,25,13,10,10.0,23.0,M,H,C,1,F,12.7
2333,316,33535,6,11,1,8.117885715,20.0,F,H,C,1,G,25.0
974,381,19785,21,14,12,4.0,37.5707995,F,other,C,3,E,7.25
362,275,11343,5,6,3,4.0,50.0,M,U,R,3,E,8.666666667000001
175,88,5990,35,13,37,5.0,59.0,F,H,R,1,F,8.810810811
413,232,10482,27,13,19,4.0,13.0,M,H,C,2,F,9.842105262999999
218,135,7174,5,10,1,8.117885715,72.0,M,U,S,1,F,15.0
641,417,16695,14,13,4,1.0,17.0,M,H,S,2,G,11.5
1532,600,18894,33,11,31,4.0,37.0,F,H,S,1,E,6.290322581
637,230,10708,9,13,4,6.0,45.0,F,H,S,4,E,7.5
5000,1251,68822,6,10,1,8.117885715,37.5707995,other,other,S,1,G,25.0
675,332,14970,16,8,11,5.0,39.0,F,H,C,1,F,9.818181818
697,264,12658,23,13,9,4.0,37.5707995,M,other,U,1,F,9.666666667000001
532,254,11663,5,10,1,8.117885715,49.0,F,H,R,1,F,20.0
2206,517,17356,13,12,3,9.0,36.0,M,H,U,1,F,11.66666667
2530,394,13610,25,13,9,10.0,37.5707995,other,other,U,1,F,10.55555556
619,294,12962,32,18,27,4.0,30.0,M,other,U,3,D,4.925925926000001
1062,503,15888,20,8,13,4.0,22.0,M,H,S,2,F,18.30769231
1057,256,15180,27,13,10,10.0,33.0,M,U,S,2,G,21.3
627,305,13655,32,12,14,14.0,44.0,M,H,T,1,F,10.14285714
2156,411,16714,31,26,12,4.0,48.0,F,H,U,1,G,28.83333333
837,337,14154,13,14,5,5.0,26.0,F,H,C,3,E,11.6
1541,499,17340,29,13,20,7.0,36.0,other,H,C,3,F,11.0
754,259,14795,19,12,7,5.0,58.0,F,U,S,2,F,12.0
1337,672,22915,25,35,11,3.0,24.0,M,H,C,1,F,12.09090909
417,266,11224,10,13,6,1.0,13.0,F,U,C,4,D,5.0
1074,401,12570,12,12,6,2.0,37.5707995,F,H,C,4,F,10.5
644,353,8469,13,9,3,3.0,54.0,F,H,T,1,F,15.0
1668,308,9089,22,14,15,4.0,37.5707995,F,other,U,4,E,10.0
1320,590,22587,9,12,2,7.0,54.0,F,H,C,2,F,20.0
2297,343,17320,16,12,5,8.0,37.5707995,F,other,T,2,F,13.4
489,239,11363,13,12,10,5.0,18.0,F,U,T,4,E,6.3
982,237,15554,14,13,7,7.0,37.5707995,F,U,C,4,D,4.8571428569999995
935,405,16980,8,10,2,9.0,37.5707995,M,other,C,1,F,15.0
415,223,12711,11,10,4,4.0,35.0,F,H,T,1,F,11.0
414,246,9696,20,9,11,5.0,33.0,M,H,S,2,G,12.63636364
657,329,13491,25,13,13,6.0,44.0,M,U,T,3,E,8.769230769
1134,439,15048,6,12,1,8.117885715,37.5707995,F,H,R,1,F,20.0
880,438,16797,30,13,14,1.0,27.0,M,other,S,1,F,11.71428571
1693,164,12831,26,11,8,11.0,16.0,M,H,C,1,G,15.625
917,415,15513,9,15,5,3.0,37.5707995,F,H,R,4,F,6.4
811,448,19533,8,12,3,4.0,12.0,F,H,U,3,E,6.333333333
1375,407,13873,31,15,20,2.0,37.5707995,other,other,U,4,F,9.45
2176,417,19773,26,12,14,4.0,37.5707995,M,U,T,3,D,5.5
555,216,10603,18,14,9,7.0,24.0,F,U,T,3,E,8.777777777999999
655,276,11036,16,8,9,1.0,18.0,F,other,R,2,F,8.444444444
364,93,6094,6,8,1,8.117885715,37.5707995,F,other,U,1,F,15.0
701,382,15832,22,11,7,12.0,37.5707995,F,H,S,1,F,11.71428571
707,222,11513,17,13,8,10.0,15.0,F,H,C,2,G,13.5
686,335,18014,7,12,2,6.0,38.0,M,H,S,2,F,12.5
1153,317,13132,28,12,10,1.0,13.0,M,H,U,1,F,9.7
724,361,13363,15,12,4,8.0,37.5707995,F,other,S,2,F,9.75
546,322,11508,31,13,11,3.0,48.0,M,U,T,1,G,14.81818182
1492,479,15767,26,20,16,10.0,20.0,M,H,S,2,E,7.75
1172,520,19278,7,11,2,5.0,42.0,M,H,T,2,F,20.0
1127,356,28393,12,5,9,26.0,37.5707995,F,other,R,3,E,8.333333332999999
424,239,7235,14,11,4,6.0,33.0,F,H,S,1,F,9.25
615,285,11699,13,12,3,11.0,24.0,M,H,S,1,F,10.66666667
909,344,24642,16,12,4,28.0,64.0,M,H,U,1,G,20.0
1435,423,18160,31,12,28,4.0,15.0,M,U,C,1,F,5.857142857
431,272,12858,19,13,7,15.0,55.0,F,H,C,1,F,15.14285714
524,193,9062,12,9,2,15.0,40.0,M,H,R,1,F,12.5
1408,515,30096,11,12,4,2.0,50.0,F,U,S,3,F,12.25
869,476,14881,23,14,13,2.0,37.5707995,M,H,U,3,G,17.53846154
432,170,8600,14,8,10,3.0,37.5707995,M,other,R,1,F,7.1
2524,320,20399,6,10,1,8.117885715,78.0,F,H,U,1,F,20.0
1482,260,21630,7,12,2,1.0,24.0,M,U,C,2,F,20.0
533,263,12579,36,30,34,1.0,15.0,M,other,C,2,F,6.617647058999999
782,388,19242,19,13,5,11.0,28.0,M,H,C,1,F,14.2
471,192,12518,25,13,14,7.0,37.5707995,other,H,C,1,E,8.145714286
643,505,16084,20,30,13,12.0,52.0,M,H,C,1,F,10.15384615
455,233,9325,27,13,14,5.0,36.0,M,H,T,2,E,11.0
681,214,6494,6,7,1,8.117885715,37.5707995,M,U,T,1,F,15.0
729,383,14157,13,11,9,2.0,24.0,F,H,S,4,D,2.777777778
1929,259,13660,7,11,1,8.117885715,37.5707995,M,other,U,1,G,30.0
469,293,13057,29,13,11,13.0,14.0,F,U,T,2,F,10.63636364
308,339,11803,27,26,7,12.0,35.0,F,H,S,1,G,23.42857143
526,289,11709,30,13,17,3.0,37.5707995,other,other,U,2,E,7.588235293999999
552,222,12431,9,13,3,4.0,10.0,M,U,T,3,E,7.333333333
525,142,9739,19,23,11,6.0,40.0,F,U,C,3,E,8.272727273
588,192,6820,10,14,3,3.0,29.0,F,other,C,3,G,25.0
1081,397,20263,29,15,9,27.0,12.0,F,H,S,3,F,9.111111111
683,259,8691,11,15,3,9.0,54.0,M,H,T,2,G,24.0
3679,390,31606,27,12,23,4.0,12.0,F,H,U,1,G,10.52173913
676,311,14941,14,12,5,3.0,20.0,M,H,C,2,F,15.2
217,205,11281,24,12,10,5.0,37.5707995,F,other,R,1,F,13.2
3413,626,21639,9,12,2,12.0,31.0,F,other,S,1,F,10.0
295,173,7204,31,14,11,9.0,37.5707995,F,other,R,2,G,21.27272727
1126,491,24001,28,41,16,5.0,19.0,M,H,C,1,F,17.5625
486,210,10895,30,14,10,5.0,54.0,M,H,C,1,G,15.0
871,357,15344,30,13,14,6.0,30.0,M,H,U,2,E,6.0
364,226,11035,4,8,1,8.117885715,37.5707995,F,other,R,1,F,15.0
401,113,7834,6,10,1,8.117885715,34.0,M,H,T,1,F,20.0
687,244,13202,18,14,6,11.0,45.0,M,other,R,1,F,11.16666667
862,507,15487,20,14,11,4.0,23.0,M,H,U,3,F,11.27272727
702,260,13446,5,10,1,8.117885715,68.0,F,U,S,1,F,15.0
492,203,14159,26,14,15,10.0,36.0,F,H,T,4,D,3.233333333
648,377,11509,17,11,6,1.0,41.0,F,H,S,1,G,12.83333333
1702,363,17334,19,13,8,17.0,14.0,M,H,T,1,G,8.25
667,220,13035,15,13,5,1.0,28.0,M,H,C,2,G,10.0
2141,335,14267,27,12,13,15.0,35.0,M,H,U,2,E,6.538461539
648,263,11333,13,15,3,31.0,37.5707995,M,U,T,2,F,13.33333333
414,198,8673,17,12,4,5.0,38.0,M,H,C,1,F,12.75
1256,405,17935,7,13,3,4.0,37.5707995,F,other,U,3,G,26.66666667
343,132,5899,27,14,16,8.0,31.0,F,other,R,1,E,4.875
612,396,13342,22,12,5,8.0,54.0,F,H,T,1,G,18.8
575,223,11902,11,13,4,9.0,37.5707995,F,U,T,3,F,10.5
841,362,23931,15,9,4,8.0,48.0,F,H,S,1,F,11.5
1085,512,17783,13,11,3,4.0,68.0,F,H,T,1,G,18.33333333
638,315,11699,21,12,11,3.0,40.0,M,H,R,2,E,10.63636364
399,202,8630,6,11,1,8.117885715,37.5707995,M,other,R,1,G,26.0
590,290,14783,11,12,3,7.0,37.5707995,F,H,T,2,F,12.0
1274,496,26108,30,7,22,5.0,39.0,M,H,S,1,E,8.363636364
1384,443,23029,11,30,3,8.0,57.0,M,H,C,2,G,84.33333333
483,202,9753,24,15,11,11.0,22.0,M,H,C,2,G,16.90909091
2053,456,15530,13,12,4,10.0,37.5707995,M,other,C,1,F,11.25
551,371,12422,10,12,4,8.0,26.0,F,H,S,3,E,7.0
3346,891,36969,5,11,1,8.117885715,36.0,F,H,S,1,F,15.0
1309,494,23951,20,10,6,33.0,38.0,M,H,C,1,F,9.666666667000001
727,352,14389,27,13,9,14.0,47.0,F,H,C,2,G,21.66666667
770,167,13518,14,13,6,6.0,14.0,F,U,C,3,F,7.166666667
1313,207,31604,6,11,1,8.117885715,37.5707995,F,U,U,1,F,23.0
1874,517,15241,25,11,32,3.0,37.5707995,M,U,S,1,E,8.90625
649,421,13269,11,13,2,11.0,57.0,F,H,T,1,G,41.5
586,360,13750,18,12,3,15.0,53.0,F,U,S,1,G,40.0
853,424,15904,12,22,2,4.0,37.5707995,F,other,S,1,G,17.5
380,146,5422,11,6,6,2.0,37.5707995,M,other,C,1,G,21.5
2606,643,28393,7,13,2,1.0,57.0,M,H,S,2,G,15.5
1177,544,22042,5,11,1,8.117885715,68.0,M,U,U,1,F,18.0
575,306,12777,28,13,14,9.0,14.0,F,U,R,1,E,10.0
538,230,13014,6,12,1,8.117885715,37.5707995,F,H,U,1,G,50.0
571,254,11073,19,12,10,3.0,37.5707995,F,U,T,1,F,12.7
667,399,12782,11,14,5,6.0,46.0,F,H,S,4,E,8.0
354,117,7019,11,9,3,22.0,14.0,F,H,C,1,F,10.33333333
466,158,7828,9,11,2,13.0,65.0,F,H,U,1,F,13.0
0,0,0,26,14,14,5.0,25.0,M,U,R,2,E,6.142857143
608,297,9860,34,13,21,2.0,36.0,F,H,U,1,G,17.0
837,364,16538,9,13,2,5.0,56.0,M,other,S,2,F,20.0
570,266,10103,26,11,8,5.0,50.0,M,H,C,2,F,7.75
373,257,11002,7,10,2,10.0,49.0,F,U,R,1,F,12.5
370,200,8654,11,12,3,3.0,37.5707995,M,U,R,2,F,15.0
689,327,14716,13,13,4,5.0,43.0,M,H,S,2,F,20.0
1836,363,14116,17,13,5,14.0,47.0,F,other,S,2,F,14.8
948,451,16732,14,12,7,6.0,24.0,M,U,T,4,E,9.0
334,111,7041,23,15,13,9.0,20.0,M,H,R,4,E,7.538461539
786,365,15523,29,11,8,17.0,23.0,M,H,T,1,F,15.25
1652,625,24455,19,14,7,10.0,51.0,F,H,C,2,F,13.14285714
486,233,13491,9,12,4,11.0,32.0,F,H,T,3,E,7.25
554,275,12772,23,10,15,5.0,10.0,F,U,R,2,E,5.6
396,142,8614,28,12,23,13.0,37.5707995,F,other,C,3,D,3.52173913
937,343,18628,25,13,12,5.0,17.0,F,other,S,3,E,6.334166667000001
992,248,16254,31,9,48,4.0,13.0,F,H,C,3,D,4.833333333
977,507,20794,10,14,4,6.0,37.5707995,other,other,C,3,F,15.0
1200,443,18738,6,11,1,8.117885715,55.0,M,H,S,1,G,40.0
3138,589,18088,29,13,15,3.0,37.5707995,F,H,U,2,E,7.6
793,379,18256,15,12,4,6.0,51.0,M,H,T,2,F,11.75
674,314,13832,7,10,2,16.0,66.0,F,U,U,1,F,10.0
780,233,13247,8,10,2,5.0,37.5707995,F,other,T,1,F,15.0
400,122,8452,26,14,15,9.0,53.0,M,H,U,4,G,17.8
525,378,13505,15,13,6,5.0,58.0,F,other,R,2,G,16.33333333
1063,593,19291,12,12,5,7.0,29.0,M,H,S,3,E,5.8
557,270,9557,7,9,1,8.117885715,37.5707995,F,H,C,1,G,25.0
910,301,23213,27,15,14,2.0,23.0,M,H,S,2,G,13.35714286
1846,611,45149,19,13,7,6.0,54.0,F,H,S,2,F,10.0
1097,485,16570,22,12,7,9.0,37.5707995,F,U,S,1,F,12.0
223,197,9981,20,13,8,9.0,46.0,F,H,T,3,E,9.125
694,292,22250,27,32,10,12.0,25.0,M,other,U,1,G,25.3
930,456,17367,19,14,10,27.0,51.0,F,other,S,4,F,11.6
592,239,10940,24,15,17,6.0,19.0,M,U,T,2,E,9.235294117999999
382,237,8950,5,10,1,8.117885715,56.0,F,U,T,1,F,20.0
258,116,6873,22,13,16,2.0,24.0,M,H,T,1,E,7.625
712,358,13204,27,10,15,11.0,39.0,F,H,R,3,D,6.0
702,225,14967,6,4,3,5.0,37.5707995,F,other,R,2,F,10.33333333
480,201,12209,18,13,5,2.0,28.0,F,U,T,1,G,16.2
589,289,12204,31,12,24,8.0,52.0,F,H,C,1,E,11.75
1271,289,15427,26,14,7,7.0,52.0,F,U,T,1,G,32.5
246,164,6992,29,13,16,8.0,16.0,M,H,C,1,G,7.125
3610,455,23343,26,15,11,17.0,19.0,F,other,S,2,E,8.454545455
951,479,18073,17,15,3,28.0,37.5707995,F,U,C,1,G,75.66666667
838,486,16806,28,23,6,5.0,64.0,other,other,T,1,G,24.16666667
558,328,16546,27,16,13,6.0,23.0,M,U,C,3,F,25.0
743,138,15380,15,13,4,17.0,22.0,M,H,C,2,F,12.75
1149,563,18764,6,12,2,2.0,36.0,F,U,S,2,F,17.5
870,421,17490,31,10,15,0.0,37.5707995,F,other,S,1,E,12.4
482,217,10388,16,13,9,10.0,34.0,F,H,T,4,E,5.555555556
375,209,10742,19,12,11,5.0,37.5707995,M,U,R,3,E,8.909090909
484,325,10609,16,13,7,2.0,46.0,F,H,C,1,G,17.0
1504,255,6577,15,12,4,14.0,54.0,M,H,U,1,F,12.25
987,387,16439,7,11,2,2.0,61.0,M,H,U,2,G,15.5
455,233,9956,6,12,1,8.117885715,57.0,F,other,T,1,F,20.0
612,184,10681,28,13,20,10.0,37.5707995,F,H,C,4,D,4.15
2529,411,11580,6,10,1,8.117885715,37.5707995,F,U,S,1,G,33.0
532,266,11331,30,10,17,3.0,34.0,F,H,T,1,E,6.176470588
152,208,5742,16,9,5,4.0,53.0,M,H,T,1,F,7.8
2375,503,32424,25,13,19,13.0,41.0,F,H,U,3,F,9.052631579
759,256,12225,6,10,1,8.117885715,60.0,F,H,C,1,F,23.0
3050,1131,67315,6,7,1,8.117885715,37.5707995,other,other,S,1,G,25.0
713,416,17708,17,12,17,1.0,65.0,M,other,C,4,D,3.117647059
209,136,7814,6,10,1,8.117885715,37.5707995,F,U,C,1,F,15.0
662,386,10980,14,8,4,10.0,37.5707995,F,other,T,2,F,11.25
1000,317,11783,14,10,4,5.0,29.0,M,H,U,1,F,9.25
813,426,18256,10,13,5,3.0,56.0,F,H,S,3,E,7.6
325,248,10949,19,13,10,4.0,58.0,F,U,R,3,E,9.4
901,409,14154,6,7,1,8.117885715,37.5707995,F,H,T,1,F,20.0
938,187,10983,13,12,3,4.0,37.5707995,M,H,R,1,F,10.66666667
